City Name,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
hobart,-42.88,57.2,58,75,21.92
isangel,-19.55,71.78,100,12,12.55
ponta do sol,-20.63,80.51,31,0,4.94
arraial do cabo,-22.97,71.6,73,40,23.04
puerto carreno,6.19,77,94,75,3.15
tasiilaq,65.61,51.8,76,90,20.8
rolla,37.95,84.2,48,1,5.82
alofi,-19.06,73.4,73,44,11.41
punta arenas,-53.16,40.05,80,75,12.75
havelock,34.88,79.38,94,90,19.46
dunedin,-45.87,37.22,93,76,3.6
sawtell,-30.38,46.4,75,0,6.93
vaini,15.34,70.34,98,92,10.2
kavaratti,10.57,80.42,100,92,23.29
provideniya,64.42,50.09,94,64,22.28
aklavik,68.22,48.2,100,90,9.17
pisco,-13.71,66.2,68,40,14.99
busselton,-33.64,59.54,100,8,25.75
puerto ayora,-0.74,77,69,40,18.34
moindou,-21.69,62.6,100,92,5.06
new norfolk,-42.78,57.2,58,75,21.92
albany,42.65,74.12,78,90,4.7
hilo,19.71,63.73,77,1,6.93
bredasdorp,-34.53,55.4,62,8,10.29
saint george,39.45,82.4,51,20,12.75
bluff,-23.58,42.44,60,0,6.96
faanui,-16.48,78.89,100,88,12.55
lawrence,38.97,84.2,66,20,8.05
cape town,-33.93,53.6,58,75,9.17
salalah,17.01,77,88,90,4.7
gat,14.69,89.6,52,75,4.7
east london,-33.02,57.2,87,0,3.36
ushuaia,-54.81,41,65,90,6.93
cherskiy,68.75,39.83,85,0,2.59
dalby,-27.18,30.2,50,0,3.36
mataura,-46.19,42.08,98,92,3.38
innisfail,52.02,51.8,71,75,6.93
poltavka,54.36,57.11,84,24,5.5
tuktoyaktuk,69.44,39.2,100,90,13.87
miles city,46.41,73.4,56,1,16.11
airai,-8.93,64.67,98,64,2.15
qaanaaq,77.48,36.14,100,64,5.17
raudeberg,61.99,64.49,45,20,5.82
ribeira grande,38.52,77,78,20,6.93
panukulan,14.93,81.14,99,12,23.85
baykit,61.68,49.37,85,56,2.59
mar del plata,-46.43,54.77,49,20,17.81
san patricio,-26.98,84.65,41,0,4.72
port keats,-14.25,63.14,63,0,16.24
grande riviere du nord,19.58,84.2,62,40,13.87
owo,7.2,71.06,99,92,5.61
misratah,32.38,84.74,68,8,13.56
erdaojiang,41.78,72.59,92,92,4.94
port elizabeth,39.31,79.72,78,75,4.72
bassila,9,72.41,98,92,8.41
zambezi,-13.55,68.99,32,0,6.17
moa,20.66,85.55,60,24,8.08
el alto,-16.5,53.6,22,75,6.93
praia,-20.25,77,33,0,3.36
ca mau,9.18,77.99,99,68,4.05
liverpool,53.41,64.38,77,40,19.46
yulara,-25.24,39.2,55,0,3.36
kiama,-34.67,51.8,62,0,13.87
changying,52.87,56.93,92,56,2.71
nanortalik,60.14,43.79,100,92,4.16
rikitea,-23.12,71.51,100,0,7.63
kampot,10.62,77.81,83,76,4.38
nikolskoye,59.7,66.2,55,40,20.13
santa maria,-29.69,71.6,64,0,3.36
silleda,42.7,69.85,77,75,10.29
ilo,-17.65,62.42,91,8,3.94
